instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
Bellevue College,30,1,,,,,
Bellevue University,12,1,17814,17814,,,
Bellin College,20,1,,,100,69,
Bellingham Technical College,30,1,,,,,
Bellus Academy,0,3,,,,,
Bellus Academy-El Cajon,0,2,,,,,
Bellus Academy-National City,0,2,,,,,
Bellus Academy-Poway,0,2,,,,,
Belmont Abbey College,30,1,32954,32954,23,68,
Belmont College,40,2,,,,,
Belmont University,13,1,48870,48870,10,80,
Beloit College,30,1,57506,57506,16,69,
Bemidji State University,20,1,20208,20208,30,94,
Ben Franklin Career Center,0,3,,,,,
Bene's Career Academy,0,3,,,,,
Benedict College,30,1,32388,32388,,,
Benedictine College,20,1,42230,42230,22,99,
Benedictine University,12,1,45430,45430,,,
Benjamin Franklin Institute of Technology,30,1,35115,35115,,,
Bennett Career Institute,0,3,,,,,
Bennett College,30,1,33170,33170,11,95,
Bennington College,20,1,68420,68420,31,63,
Bentley University,12,1,63350,63350,26,42,
Berea College,30,1,35042,35042,72,37,
Bergen Community College,40,2,,,,,
Bergin University of Canine Studies,20,1,,,,,
Berk Trade and Business School,0,3,,,,,
Berkeley City College,40,2,,,,,
Berkeley College-New York,30,1,,,,,
Berkeley College-Woodland Park,20,1,,,,,
Berklee College of Music,20,1,62042,62042,37,29,
Berks Career & Technology Center,0,3,,,,,
Berks Technical Institute,40,2,,,,,
Berkshire Community College,40,2,,,,,
Berry College,20,1,48484,48484,24,55,
Best Care College,0,3,,,,,
Bet Medrash Gadol Ateret Torah,30,1,16800,16800,100,73,
Beth Hamedrash Shaarei Yosher Institute,30,1,17000,17000,100,50,
Beth Hatalmud Rabbinical College,30,1,,,100,100,
Beth Medrash Govoha,20,1,,,,,
Beth Medrash Meor Yitzchok,30,1,18100,18100,100,50,
Beth Medrash of Asbury Park,30,1,16300,16300,,,
Bethany College,20,1,41220,41220,25,70,
Bethany College,30,1,42090,42090,11,99,
Bethany Global University,20,1,22570,22570,82,65,
Bethany Lutheran College,30,1,36150,36150,46,85,
Bethany Theological Seminary,20,1,,,,,
Bethel College,30,1,,,,,
Bethel College-Indiana,20,1,38660,38660,22,66,
Bethel College-North Newton,30,1,40611,40611,28,53,
Bethel Seminary-San Diego,20,1,,,,,
Bethel Seminary-St Paul,13,1,,,,,
Bethel University,12,1,48986,48986,42,95,
Bethel University,20,1,31262,31262,59,84,
Bethesda University,13,1,,,,,
Bethlehem College & Seminary,20,1,12320,12320,88,79,
Bethune-Cookman University,20,1,28820,28820,,,
Beulah Heights University,12,1,20410,20410,,,
Beverly Hills Design Institute,30,1,,,14,22,
Bevill State Community College,40,2,15360,18870,,,
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,14,1,,,,,
Beyond 21st Century Beauty Academy,0,3,,,,,
Beyond Measure Barbering Institute,0,3,,,,,
Beyond The Basics School of Cosmetology,0,3,,,,,
Biblical Theological Seminary,14,1,,,,,
Bidwell Training Center Inc,40,2,,,68,84,
Big Bend Community College,40,2,15488,15902,,,
Big Sandy Community and Technical College,40,2,,,,,
Biola University,12,1,52242,52242,31,70,
Birmingham Southern College,30,1,50400,50400,23,53,
Birthingway College of Midwifery,30,1,,,,,
Birthwise Midwifery School,0,2,,,0,75,
Bishop State Community College,40,2,,,,,
Bismarck State College,30,1,15559,20428,,,
Bitterroot School of Cosmetology,0,2,,,,,
BJ's Beauty & Barber College,0,2,,,,,
BJ's Beauty & Barber College,0,2,,,,,
Black Hawk College,40,2,,,,,
Black Hills Beauty College,0,2,,,,,
Black Hills State University,20,1,20199,23115,40,84,
Black River Technical College,40,2,,,,,
Blackburn College,30,1,30176,30176,27,55,
Blackfeet Community College,40,2,19793,19793,,,
Blackhawk Technical College,40,2,,,,,
Blackstone Valley Vocational Regional School District,0,3,,,,,
Bladen Community College,40,2,,,,,
Blades School of Hair Design,0,3,,,,,
Blake Austin College,0,3,,,,,
Blalock's Professional Beauty College,0,3,,,,,
Blessing Hospital School of Medical Laboratory Technology,0,3,,,,,
Blessing Hospital School of Radiologic Technology,0,2,,,,,
Blessing Rieman College of Nursing and Health Sciences,20,1,,,,,
Blinn College,40,2,18242,21914,,,
Bloomfield College,20,1,44546,44546,24,60,
Bloomsburg University of Pennsylvania,13,1,23406,34498,24,88,
Blue Cliff Career College,0,3,,,,,
Blue Cliff College-Alexandria,40,2,,,,,
Blue Cliff College-Fayetteville,0,3,,,,,
Blue Cliff College-Gulfport,0,3,,,,,
Blue Cliff College-Houma,0,3,,,,,
Blue Cliff College-Lafayette,0,3,,,,,
Blue Cliff College-Metairie,40,2,,,,,
Blue Cliff College-Shreveport,0,3,,,,,
Blue Hills Regional Technical School,0,3,,,71,64,
Blue Mountain College,20,1,20951,20951,45,99,
Blue Mountain Community College,40,2,,,,,
Blue Ridge Community and Technical College,40,2,,,,,
Blue Ridge Community College,40,2,,,,,
Blue Ridge Community College,40,2,,,,,
Blue Sky School of Professional Massage and Therapeutic Bodywork,0,3,,,,,
Blue Water College of Cosmetology Inc,0,3,,,,,
Bluefield College,20,1,37028,37028,24,93,
Bluefield State College,30,1,,,56,77,
Bluegrass Community and Technical College,40,2,,,,,
Bluffton University,20,1,44652,44652,25,54,
Board of Trustees-Mississippi State Institutions of Higher Learning,11,1,,,,,
Bob Jones University,12,1,24820,24820,67,82,
Boca Beauty Academy,0,3,,,,,
Boca Beauty Academy-Parkland,0,3,,,,,
Body Therapy Institute,0,3,,,,,
Boise Barber College,0,2,,,,,
Boise Bible College,30,1,25900,25900,55,98,
Boise State University,12,1,19424,33874,32,80,
Bold Beauty Academy,0,2,,,,,
Bon Secours Memorial College of Nursing,30,1,,,,,
Bon Secours St Mary's Hospital School of Medical Imaging,0,3,,,,,
Bonnie Joseph Academy of Cosmetology and Barbering,0,3,,,,,
Boricua College,20,1,,,,,
Borner's Barber College,0,3,,,,,
Bos-Man's Barber College,0,3,,,,,
Bossier Parish Community College,40,2,,,,,
Boston Architectural College,20,1,,,,,
Boston Baptist College,30,1,26691,26691,92,92,
Boston College,11,1,68064,68064,26,29,
Boston Graduate School of Psychoanalysis Inc,13,1,,,,,
Boston University,11,1,68060,68060,20,33,
Bowdoin College,30,1,65590,65590,50,15,
Bowie State University,12,1,21880,32416,37,57,
Bowling Green State University-Firelands,40,2,,,,,
Bowling Green State University-Main Campus,12,1,24361,31897,32,73,
Bradford School,40,2,28376,28376,37,89,
Bradford School,40,2,24926,24926,,,
Bradford-Union Technical Center,0,2,,,,,
Bradley University,13,1,45570,45570,15,66,
Bramson ORT College,40,2,,,,,
Brand College,0,3,,,,,
Brandeis University,12,1,68125,68125,22,34,
Brandman University,13,1,,,16,75,
Branford Academy of Hair and Cosmetology,0,3,,,,,
Branford Hall Career Institute-Albany Campus,0,3,,,,,
Branford Hall Career Institute-Amityville,0,3,,,,,
Branford Hall Career Institute-Bohemia Campus,0,3,,,,,
Branford Hall Career Institute-Branford Campus,0,3,,,,,
Branford Hall Career Institute-Jersey City,0,3,,,,,
Branford Hall Career Institute-North Brunswick,0,3,,,,,
Branford Hall Career Institute-Parsippany,0,3,,,,,
Branford Hall Career Institute-Southington Campus,0,3,,,,,
Branford Hall Career Institute-Springfield Campus,0,3,,,,,
Branford Hall Career Institute-Windsor Campus,0,3,,,,,
Branford Hall Career Institute-Woodland Park,0,3,,,,,
Brazosport College,30,1,,,,,
Brenau University,13,1,43470,43470,13,66,
Brescia University,20,1,32650,32650,8,48,
Brevard College,30,1,40784,40784,19,41,
Brewster Technical College,0,2,,,,,
Brewton-Parker College,30,1,31236,31236,,,
Briar Cliff University,13,1,42000,42000,,,
Briarcliffe College,30,1,,,,,
Bridgeport Hospital School of Nursing,0,3,,,,,
Bridgerland Applied Technology College,0,2,,,,,
BridgeValley Community & Technical College,40,2,,,,,
Bridgewater College,30,1,47940,47940,15,49,
Bridgewater State University,20,1,25403,31543,32,81,
Brigham Young University-Hawaii,30,1,17756,17756,50,36,
Brigham Young University-Idaho,30,1,11900,11900,40,100,
Brigham Young University-Provo,11,1,18060,18060,78,48,
Brighton Center's Center for Employment Training,0,3,,,,,
Brighton Institute of Cosmetology,0,3,,,,,
Brightwood Career Institute-Broomall,40,2,,,,,
Brightwood Career Institute-Harrisburg,40,2,,,,,
Brightwood Career Institute-Philadelphia,40,2,,,,,
Brightwood Career Institute-Philadelphia Mills,40,2,,,,,
Brightwood Career Institute-Pittsburgh,40,2,,,,,
Brightwood College-Arlington,40,2,,,,,
Brightwood College-Bakersfield,40,2,,,,,
Brightwood College-Baltimore,40,2,,,,,
Brightwood College-Beaumont,40,2,,,,,
Brightwood College-Beltsville,40,2,,,,,
Brightwood College-Brownsville,40,2,,,,,
Brightwood College-Charlotte,40,2,,,,,
Brightwood College-Chula Vista,40,2,,,,,
Brightwood College-Corpus Christi,40,2,,,,,
Brightwood College-Dallas,40,2,,,,,
Brightwood College-Dayton,40,2,,,,,
Brightwood College-El Paso,40,2,,,,,
Brightwood College-Fort Worth,40,2,,,,,
Brightwood College-Fresno,40,2,,,,,
Brightwood College-Friendswood,40,2,,,,,
Brightwood College-Hammond,0,3,,,,,
Brightwood College-Houston,40,2,,,,,
Brightwood College-Indianapolis,40,2,,,,,
Brightwood College-Laredo,40,2,,,,,
Brightwood College-Las Vegas,40,2,,,,,
Brightwood College-McAllen,40,2,,,,,
Brightwood College-Modesto,40,2,,,,,
Brightwood College-Nashville,40,2,,,,,
Brightwood College-North Hollywood,40,2,,,,,
Brightwood College-Palm Springs,40,2,,,,,
Brightwood College-Riverside,40,2,,,,,
Brightwood College-Sacramento,40,2,,,,,
Brightwood College-San Antonio-Ingram,40,2,,,,,
Brightwood College-San Antonio-San Pedro,40,2,,,,,
Brightwood College-San Diego,40,2,,,,,
Brightwood College-Towson,40,2,,,,,
Brightwood College-Vista,40,2,,,,,
Bristol Community College,40,2,,,,,
Bristol Technical Education Center,0,3,,,,,
Bristol University,20,1,,,56,46,
Brite Divinity School,12,1,,,,,
Brittany Beauty School,0,3,,,,,
Brittany Beauty School,0,3,,,,,
Broadview Entertainment Arts University,30,1,,,,,
Broadview University-Boise,30,1,,,,,
Broadview University-Layton,30,1,,,,,
Broadview University-Orem,30,1,,,,,
Broadview University-West Jordan,20,1,,,,,
Broken Arrow Beauty College-Broken Arrow,0,3,,,,,
Broken Arrow Beauty College-Tulsa,0,3,,,,,
Brookdale Community College,40,2,,,,,
Brookhaven College,40,2,,,,,
Brookline College-Albuquerque,30,1,,,,,
Brookline College-Phoenix,20,1,,,,,
Brookline College-Tempe,40,2,,,,,
Brookline College-Tucson,30,1,,,,,
Brooklyn Law School,13,1,,,,,
Brooks Institute,20,1,,,9,98,
Broome Delaware Tioga BOCES-Practical Nursing Program,0,3,,,33,58,
Broward College,30,1,,,,,
Brown Aveda Institute-Mentor,0,2,,,,,
Brown Aveda Institute-Rocky River,0,2,,,,,
Brown College of Court Reporting,40,2,,,35,74,
Brown Mackie College-Akron,30,1,,,,,
Brown Mackie College-Albuquerque,30,1,,,,,
Brown Mackie College-Atlanta,40,2,,,,,
Brown Mackie College-Birmingham,30,1,,,,,
Brown Mackie College-Boise,30,1,,,,,
Brown Mackie College-Cincinnati,30,1,,,,,
Brown Mackie College-Dallas,30,1,,,,,
Brown Mackie College-Findlay,30,1,,,,,
Brown Mackie College-Fort Wayne,30,1,,,,,
Brown Mackie College-Greenville,30,1,,,,,
Brown Mackie College-Hopkinsville,40,2,,,,,
Brown Mackie College-Indianapolis,30,1,,,,,
Brown Mackie College-Kansas City,40,2,,,,,
Brown Mackie College-Louisville,30,1,,,,,
Brown Mackie College-Merrillville,30,1,,,,,
Brown Mackie College-Miami,30,1,,,,,
Brown Mackie College-Michigan City,30,1,,,,,
Brown Mackie College-North Canton,30,1,,,,,
Brown Mackie College-Northern Kentucky,30,1,,,,,
Brown Mackie College-Oklahoma City,30,1,,,,,
Brown Mackie College-Phoenix,30,1,,,,,
Brown Mackie College-Quad Cities,40,2,,,,,
Brown Mackie College-Salina,30,1,,,,,
Brown Mackie College-San Antonio,30,1,,,,,
Brown Mackie College-South Bend,30,1,,,,,
Brown Mackie College-St Louis,30,1,,,,,
Brown Mackie College-Tucson,30,1,,,,,
Brown Mackie College-Tulsa,30,1,,,,,
Brown University,11,1,68106,68106,56,9,
Brownson Technical School,0,3,,,,,
Brunswick Community College,40,2,,,,,
Bryan College of Health Sciences,12,1,,,73,86,
Bryan College-Dayton,20,1,35315,35315,52,46,
Bryan College-Gold River,40,2,,,,,
Bryan University,40,2,,,,,
Bryan University,40,2,,,,,
Bryan University,40,2,,,,,
Bryan University,20,1,,,,,
Bryan University,20,1,,,,,
Bryant & Stratton College-Akron,30,1,,,,,
Bryant & Stratton College-Albany,30,1,,,,,
Bryant & Stratton College-Amherst,30,1,,,,,
Bryant & Stratton College-Bayshore,30,1,,,,,
Bryant & Stratton College-Buffalo,30,1,,,,,
Bryant & Stratton College-Cleveland,30,1,,,,,
Bryant & Stratton College-Eastlake,30,1,,,,,
Bryant & Stratton College-Greece,30,1,,,,,
Bryant & Stratton College-Hampton,30,1,,,,,
Bryant & Stratton College-Henrietta,40,2,,,,,
Bryant & Stratton College-Milwaukee,30,1,,,,,
Bryant & Stratton College-Online,30,1,,,,,
Bryant & Stratton College-Parma,30,1,,,,,
Bryant & Stratton College-Richmond,30,1,,,,,
Bryant & Stratton College-Southtowns,30,1,,,,,
Bryant & Stratton College-Syracuse,40,2,29191,29191,,,
Bryant & Stratton College-Syracuse North,30,1,,,,,
Bryant & Stratton College-Virginia Beach,30,1,,,,,
Bryant & Stratton College-Wauwatosa,30,1,,,,,
Bryant University,20,1,58637,58637,19,72,
Bryn Athyn College of the New Church,20,1,33220,33220,48,42,
Bryn Mawr College,12,1,66160,66160,35,39,
Buchanan Beauty College,0,3,,,,,
Buchanan Beauty College of Tullahoma,0,3,,,,,
Buchanan Beauty College-Pleasantview,0,3,,,,,
Buckeye Hills Career Center,0,3,,,,,
Buckeye Joint Vocational School,0,3,,,,,
Bucknell University,20,1,67600,67600,35,25,
Buckner Barber School,0,3,,,,,
Bucks County Community College,40,2,,,,,
Bucks County School of Beauty Culture Inc,0,2,,,,,
Buena Vista University,20,1,44788,44788,24,68,
Bullard-Havens Technical High School,0,3,,,,,
Bunker Hill Community College,40,2,,,,,
Burnett International College,40,2,,,,,
Burrell College of Osteopathic Medicine,13,1,,,,,
Butler Beauty Academy,0,3,,,,,
Butler Community College,40,2,12403,14203,,,
Butler County Community College,40,2,,,,,
Butler Tech-D Russel Lee Career Center,0,3,,,,,
Butler University,13,1,54857,54857,15,70,
Butte Academy of Beauty Culture,0,2,,,,,
Butte College,40,2,,,,,
Butte County Regional Occupational Program,0,3,,,,,
Byzantine Catholic Seminary of Saints Cyril and Methodius,20,1,,,,,
CAAN Academy of Nursing,0,2,,,,,
Cabarrus College of Health Sciences,20,1,,,63,94,
Cabell County Career Technology Center,0,3,,,,,
Cabrillo College,40,2,,,,,
Cabrini University,12,1,45988,45988,22,72,
Cactus Academy,0,3,,,,,
Caddo Kiowa Technology Center,0,3,,,,,
Cadillac Institute of Cosmetology,0,3,,,,,
Cain's Barber College Inc,0,3,,,,,
Cairn University-Langhorne,20,1,37865,37865,41,99,
CALC Institute of Technology,0,3,,,,,
Caldwell Community College and Technical Institute,40,2,,,,,
Caldwell University,12,1,48690,48690,14,64,
California Aeronautical University,-3,-3,,,,,
California Baptist University,12,1,44538,44538,39,65,
California Barber and Beauty College,0,3,,,,,
California Beauty School,0,3,,,,,
California Career College,40,2,,,,,
California Career Institute,0,3,,,,,
California Career School,0,3,,,,,
California Christian College,30,1,20895,20895,100,100,
California College of the Arts,20,1,62636,62636,18,69,
California College San Diego,30,1,,,,,
California College San Diego,30,1,,,,,
California Hair Design Academy,0,3,,,,,
California Healing Arts College,0,3,,,,,
California Health Sciences University,13,1,,,,,
California Institute of Advanced Management,20,1,,,,,
California Institute of Integral Studies,11,1,,,,,
California Institute of Technology,12,1,66774,66774,42,9,
California Institute of the Arts,12,1,66799,66799,36,25,
California Intercontinental University,12,1,,,,,
California International Business University,12,1,,,,,
California Jazz Conservatory,30,1,,,67,100,
California Lutheran University,13,1,57912,57912,15,62,
California Miramar University,12,1,,,,,
California Nurses Educational Institute,0,3,,,,,
California Polytechnic State University-San Luis Obispo,20,1,26076,37236,34,31,
California State Polytechnic University-Pomona,14,1,25547,36707,20,39,
California State University Maritime Academy,20,1,22367,33527,28,66,
California State University-Bakersfield,14,1,25577,36737,25,69,
California State University-Chancellors Office,11,1,,,,,
California State University-Channel Islands,20,1,27445,38605,14,68,
California State University-Chico,20,1,23846,35006,18,63,
California State University-Dominguez Hills,20,1,23225,34385,15,53,
California State University-East Bay,14,1,24822,35982,16,74,
California State University-Fresno,13,1,19745,30905,34,52,
California State University-Fullerton,13,1,26654,37814,24,42,
California State University-Long Beach,11,1,23610,34770,22,34,
California State University-Los Angeles,12,1,23995,35155,17,68,
California State University-Monterey Bay,20,1,21678,32838,14,49,
California State University-Northridge,13,1,20489,31649,35,46,
California State University-Sacramento,11,1,24862,36022,24,67,
California State University-San Bernardino,14,1,23620,34780,33,65,
California State University-San Marcos,14,1,24641,35801,29,54,
California State University-Stanislaus,14,1,19826,30986,24,71,
California University of Management and Sciences,20,1,,,,,
California University of Pennsylvania,14,1,25775,30109,30,85,
California Western School of Law,13,1,,,,,
Calumet College of Saint Joseph,20,1,,,,,
Calvary University,20,1,19234,19234,57,94,
Calvin College,20,1,45270,45270,33,74,
Calvin Theological Seminary,12,1,,,,,
Cambria Rowe Business College-School of Technology,40,2,,,,,
Cambria-Rowe Business College-Indiana,40,2,,,,,
Cambria-Rowe Business College-Johnstown,40,2,,,,,
Cambridge College,12,1,,,,,
Cambridge College of Healthcare & Technology,40,2,,,,,
Cambridge Institute of Allied Health & Technology,40,2,,,,,
Cambridge Junior College-Woodland,0,3,,,63,83,
Cambridge Junior College-Yuba City,40,2,,,57,87,
Camden County College,40,2,,,,,
Camelot College,0,3,,,,,
Cameo Beauty Academy,0,3,,,,,
Cameo College of Essential Beauty,0,3,,,,,
Cameron College,40,2,,,,,
Cameron University,20,1,15331,24571,,,
Campbell University,13,1,46410,46410,20,73,
Campbellsville University,20,1,38272,38272,26,76,
Canada College,40,2,,,,,
Canadian Valley Technology Center,0,3,,,,,
Canisius College,20,1,50946,50946,17,87,
Cankdeska Cikana Community College,40,2,,,,,
Cannella School of Hair Design-Blue Island,0,3,,,,,
Cannella School of Hair Design-Chicago,0,3,,,,,
Cannella School of Hair Design-Chicago,0,3,,,,,
Cannella School of Hair Design-Chicago,0,3,,,,,
Cannella School of Hair Design-Elgin,0,3,,,,,
Cannella School of Hair Design-Villa Park,0,3,,,,,
Cannon Institute of Higher Learning,0,3,,,,,
Canton City Schools Adult Career and Technical Education,0,3,,,24,100,
Cape Cod Community College,40,2,,,,,
Cape Coral Technical College,0,3,,,,,
Cape Fear Community College,40,2,,,,,
Cape Girardeau Career and Technology Center,0,2,,,,,
Capella University,11,1,,,,,
Capilo School of Hair Design,0,3,,,,,
